The TOY Hotel,4.0,"(1,357)",30.721593,76.771487,Hotel,Resorts 
Taj Chandigarh,4.4,"(8,936)",30.745266,76.784795,Hotel,Resorts 
Hotel Mountview,4.3,"(8,229)",30.753846,76.788734,Hotel,Resorts 
Maya Hotel,4.2,"(2,420)",30.72511,76.765732,Hotel,Resorts 
The Altius Boutique Hotel,4.0,"(2,338)",30.700585,76.792127,Hotel,Resorts 
Taj Chandigarh,4.4,"(8,936)",30.745266,76.784795,Hotel,Resorts 
The TOY Hotel,4.0,"(1,357)",30.721593,76.771487,Hotel,Resorts 
Hotel Mountview,4.3,"(8,229)",30.753846,76.788734,Hotel,Resorts 
Maya Hotel,4.2,"(2,420)",30.72511,76.765732,Hotel,Resorts 
The Altius Boutique Hotel,4.0,"(2,338)",30.700585,76.792127,Hotel,Resorts 
Taj Chandigarh,4.4,"(8,936)",30.745266,76.784795,Hotel,Resorts 
Hotel Mountview,4.3,"(8,229)",30.753846,76.788734,Hotel,Resorts 
The TOY Hotel,4.0,"(1,357)",30.721593,76.771487,Hotel,Resorts 
Maya Hotel,4.2,"(2,420)",30.72511,76.765732,Hotel,Resorts 
Hyatt Regency Chandigarh,4.5,"(12,289)",30.704679,76.799911,Hotel,Resorts 
Maya Hotel,4.2,"(2,420)",30.72511,76.765732,Hotel,Resorts 
BBMB VVIP Guest House,4.4,(387),30.724678,76.762147,Hotel,Resorts 
OYO 5333 Hotel Sheronz,4.0,(3),N/A,N/A,Hotel,Resorts 
Maya Hotel,4.2,"(2,420)",30.72511,76.765732,Hotel,Resorts 
The TOY Hotel,4.0,"(1,357)",30.721593,76.771487,Hotel,Resorts 
Maya Hotel,4.2,"(2,420)",30.72511,76.765732,Hotel,Resorts 
BBMB VVIP Guest House,4.4,(387),30.724678,76.762147,Hotel,Resorts 
OYO 5333 Hotel Sheronz,4.0,(3),N/A,N/A,Hotel,Resorts 
Maya Hotel,4.2,"(2,420)",30.72511,76.765732,Hotel,Resorts 
