Style 9 Beauty Salon & Spa,4.7,(135),30.692982,76.742786,Shop,Beauty Parlour
Angel beauty salon,4.2,(132),30.681785,76.743903,Shop,Beauty Parlour
Elegance Hair Beauty And Makeup Studio,4.6,(11),30.691519,76.739063,Shop,Beauty Parlour
Master's Unisex Salon,4.7,(379),30.685303,76.739616,Shop,Beauty Parlour
SG Divine Unisex Salon,4.9,(65),30.683982,76.742117,Shop,Beauty Parlour
Style 9 Beauty Salon & Spa,4.7,(135),30.692982,76.742786,Shop,Beauty Parlour
Elegance Hair Beauty And Makeup Studio,4.6,(11),30.691519,76.739063,Shop,Beauty Parlour
Lakme salon,4.8,"(1,669)",30.702491,76.727185,Shop,Beauty Parlour
Roop Rose unisex salon,4.7,(166),30.701937,76.727658,Shop,Beauty Parlour
THE BEAUTY 68,5.0,(5),30.689978,76.725955,Shop,Beauty Parlour
BEAUTY LADIES PARLOUR,4.8,(50),30.706426,76.75779,Shop,Beauty Parlour
Lakme salon,4.8,"(1,669)",30.702491,76.727185,Shop,Beauty Parlour
Roop Rose unisex salon,4.7,(166),30.701937,76.727658,Shop,Beauty Parlour
Pam Beauty Salon,4.8,(4),N/A,N/A,Shop,Beauty Parlour
Aniyara Beauty Saloon,4.8,(28),30.713664,76.725458,Shop,Beauty Parlour
Aniyara Beauty Saloon,4.8,(28),30.713664,76.725458,Shop,Beauty Parlour
Style n Shine (Beauty Parlour),4.9,(33),30.713622,76.725456,Shop,Beauty Parlour
BEAUTY LADIES PARLOUR,4.8,(50),30.706426,76.75779,Shop,Beauty Parlour
"Cleopatra Spa , Salon And Makeup Studio",4.4,(694),30.712741,76.752132,Shop,Beauty Parlour
SNG Gloss Professional Unisex Salon,4.9,(22),30.718601,76.72535,Shop,Beauty Parlour
Lakme Salon Sec 35 chandigarh,4.7,"(1,304)",30.726664,76.757707,Shop,Beauty Parlour
"RUNWAY SALON DE PARIS ( Best Salon in Chandigarh, Best Salon in Sector 35)",4.8,(110),30.726594,76.757664,Shop,Beauty Parlour
