Name,Rating,Number of Reviews,Latitude,Longitude,Category,Sub-Category
Apollo Pharmacy Mohali,4.1,(61),30.686759,76.738943,Shop,Pharmacy
Fortis Pharmacy,3.0,(25),30.695127,76.731696,Shop,Pharmacy
Metro Pharmacy,4.5,(31),30.694349,76.733357,Shop,Pharmacy
Super Homoeo Pharmacy,3.8,(8),30.68775,76.737596,Shop,Pharmacy
Hale Pharmacy,5.0,(9),30.68867,76.712554,Shop,Pharmacy
Ambarsariya Grocery Shop,4.3,(27),30.690235,76.744159,Shop,Convenience Store
"Sri Sri Divine Shop, TOK Mohali",5.0,(5),30.689026,76.72896,Shop,Convenience Store
Mamta enterprises,N/A,N/A,30.679491,76.765428,Shop,Convenience Store
Common Service Center (CSC),4.6,(18),30.687064,76.764481,Shop,Convenience Store
GoMechanic - Car Mechanic Chandigarh,3.7,(38),30.687016,76.758758,Shop,Convenience Store
Sagar Sanitary & Hardware Store.,4.6,(23),30.686107,76.739084,Shop,Hardware Store
Babbar Enterprises,4.3,(33),30.694544,76.732722,Shop,Hardware Store
Amrit Enterprises,4.5,(15),30.690099,76.725976,Shop,Hardware Store
Laxmi Hardware & Sanitary Mohit,4.2,(5),30.694564,76.732706,Shop,Hardware Store
Garg Enterprises,4.6,(29),30.686783,76.738647,Shop,Hardware Store
Bata Shoe Store,3.5,(26),N/A,N/A,Shop,Shoe Store
Relaxo Footwear,4.7,(17),30.68153,76.744277,Shop,Shoe Store
Punjab Shoes,4.0,(11),30.686697,76.738596,Shop,Shoe Store
Fancy Shoe Palace,5.0,(1),30.683139,76.742842,Shop,Shoe Store
Abhi Footwear Mohali,3.5,(8),30.688886,76.727906,Shop,Shoe Store
Swaran Medical Store,4.5,(2),30.693998,76.756603,Shop,Pharmacy
Civil Dispensary,4.1,(17),30.695935,76.751371,Shop,Pharmacy
Mittal Medicines & Surgicals,4.0,(6),30.697558,76.755191,Shop,Pharmacy
Alphonso Pharmacia,N/A,N/A,30.696534,76.748355,Shop,Pharmacy
Verma clinic,4.7,(3),30.690815,76.748212,Shop,Pharmacy
Punjab Sanitary & Hardware Sales,4.6,(12),30.702086,76.727512,Shop,Hardware Store
Babbar Enterprises,4.3,(33),30.694544,76.732722,Shop,Hardware Store
Amrit Enterprises,4.5,(15),30.690099,76.725976,Shop,Hardware Store
Laxmi Hardware & Sanitary Mohit,4.2,(5),30.694564,76.732706,Shop,Hardware Store
Malhotra Building Store,3.8,(5),30.69403,76.732678,Shop,Hardware Store
Bombay Footwear,N/A,N/A,30.693159,76.755251,Shop,Shoe Store
V-FASHION MART,4.0,(23),30.692461,76.743871,Shop,Shoe Store
Apollo Pharmacy Mohali Phase 5,3.5,(58),30.714444,76.71492,Shop,Pharmacy
Indus Pharmacy,3.9,(44),30.708909,76.722489,Shop,Pharmacy
Apollo Pharmacy Mohali 7 Phase,3.7,(17),N/A,N/A,Shop,Pharmacy
Fortis Pharmacy,3.0,(25),30.695127,76.731696,Shop,Pharmacy
Metro Chemist SCO 159-160 Sector-71 Mohali.,4.1,(13),30.705482,76.710147,Shop,Pharmacy
Jain Super Mart,5.0,(16),30.704464,76.728572,Shop,Convenience Store
Singla Store Best Pharmacy/medical/chemists store in chandigarh sector 45,4.8,(4),30.704855,76.759784,Shop,Convenience Store
Maharaja Hardware Store,4.3,(23),30.711983,76.73196,Shop,Hardware Store
Mohinder Ki Dukaan | Hardware - Sanutary - Paints |,4.1,(175),30.711389,76.752867,Shop,Hardware Store
Punjab Sanitary & Hardware Sales,4.6,(12),30.702086,76.727512,Shop,Hardware Store
Singh Hardware Sanitary & Electrical Store,4.1,(13),30.706505,76.757598,Shop,Hardware Store
Rajindra Paint And Hardware Store,3.8,(5),30.705164,76.757617,Shop,Hardware Store
Mochi Shoes,4.0,(172),N/A,N/A,Shop,Shoe Store
Bata Shoe Store,3.4,(37),N/A,N/A,Shop,Shoe Store
Singla shoes sector 45,4.3,(15),30.705652,76.758915,Shop,Shoe Store
Liberty Shoes Mohali,3.9,(34),30.701941,76.727636,Shop,Shoe Store
Shri Ram Footwear-Whole sell Shoe Shop,5.0,(8),30.70388,76.75764,Shop,Shoe Store
Dayal Pharmacy,5.0,(40),30.710862,76.753501,Shop,Pharmacy
Healthmart pharmacy,5.0,(1),30.714896,76.751661,Shop,Pharmacy
Kind Care Medicos,2.3,(3),30.716356,76.737562,Shop,Pharmacy
Arogya Medicos,4.5,(6),30.719221,76.75379,Shop,Pharmacy
Paras Medical Store,4.9,(39),30.714281,76.751727,Shop,Pharmacy
Maharaja Hardware Store,4.3,(23),30.711983,76.73196,Shop,Hardware Store
Mohinder Ki Dukaan | Hardware - Sanutary - Paints |,4.1,(175),30.711389,76.752867,Shop,Hardware Store
Ram Hardware Store,4.0,(2),30.716608,76.735454,Shop,Hardware Store
Bunny Paint & Hardware Store,N/A,N/A,30.713457,76.739477,Shop,Hardware Store
