Potomac Yard–VT Station South Pavilion,5.0,(3),38.832812,77.047455,Event Venue,Arena
Potomac Yard/Vt Metrorail Station,4.7,(21),38.833199,77.046425,Event Venue,Arena
American Airlines Admirals Club (Concourse E),4.4,(29),38.857696,77.044696,Event Venue,Arena
Synetic Theater,4.8,(327),38.856977,77.051291,Event Venue,Arena
American Airlines Admirals Club (Concourse E),4.4,(29),38.857696,77.044696,Event Venue,Arena
Crystal City Marriott at Reagan National Airport,4.2,"(1,391)",38.856774,77.051396,Event Venue,Arena
The Westin Crystal City Reagan National Airport,4.2,"(1,470)",38.857254,77.052576,Event Venue,Arena
"Crowne Plaza Crystal City-Washington, D.C., an IHG Hotel",4.0,"(1,519)",38.860565,77.050201,Event Venue,Arena
Arena Stage at the Mead Center for American Theater,4.7,"(1,521)",38.877302,77.020138,Event Venue,Arena
Arena Stage,3.9,(7),38.877352,77.020496,Event Venue,Arena
SP+ Parking,4.0,(5),38.877385,77.020607,Event Venue,Arena
M St SW & 6 St SW,3.0,(1),38.876583,77.019669,Event Venue,Arena
Richard's Place,2.1,(11),38.877456,77.021133,Event Venue,Arena
JFK Hockey Fields,4.8,(19),38.88827,77.044374,Event Venue,Arena
West Potomac Park Field #5,4.6,(5),38.882573,77.044185,Event Venue,Arena
Sylvan Theater,4.5,(37),38.888357,77.034521,Event Venue,Arena
The Portals Parking,3.0,(60),38.883644,77.029739,Event Venue,Arena
Capital One Arena,4.5,"(15,033)",38.898167,77.020856,Event Venue,Arena
CapitalOne Arena Media Entrance,4.5,(15),38.897749,77.020129,Event Venue,Arena
DC Hockey Arena,5.0,(3),38.898058,77.020879,Event Venue,Arena
Capital One Arena,4.8,(6),38.898094,77.020937,Event Venue,Arena
District E Powered by Ticketmaster,3.5,(26),38.898776,77.020583,Event Venue,Arena
Basketball Court,N/A,N/A,38.909936,77.037502,Event Venue,Arena
Washington Marriott at Metro Center,4.3,"(2,218)",38.899314,77.028035,Event Venue,Arena
Parking garage,2.9,(8),38.899022,77.029817,Event Venue,Arena
1350 I St NW Garage - One Parking,2.7,(18),38.900754,77.031805,Event Venue,Arena
Lutheran Social Services of the National Capital Area,3.4,(37),38.905878,77.039482,Event Venue,Arena
Basketball Court,N/A,N/A,38.909936,77.037502,Event Venue,Arena
Lincoln Theatre,4.5,"(1,592)",38.917155,77.028999,Event Venue,Arena
The Actors' Center,4.9,(12),38.914383,77.036914,Event Venue,Arena
Studio Theatre,4.7,(410),38.909875,77.031715,Event Venue,Arena
The Admiral,4.3,(526),38.908962,77.044373,Event Venue,Arena
Lincoln Theatre,4.5,"(1,592)",38.917155,77.028999,Event Venue,Arena
Girard Street Park,4.3,(154),38.924793,77.034407,Event Venue,Arena
Federalist Pig,4.5,"(1,339)",38.925038,77.038622,Event Venue,Arena
Tight Five Pub,4.8,(77),38.922274,77.042245,Event Venue,Arena
Capital One Bank,3.2,(32),38.916798,77.031529,Event Venue,Arena
Burr Gymnasium,4.2,(67),38.926378,77.022093,Event Venue,Arena
Greene Stadium,4.3,(149),38.925574,77.020786,Event Venue,Arena
Girard Street Park,4.3,(154),38.924793,77.034407,Event Venue,Arena
Federalist Pig,4.5,"(1,339)",38.925038,77.038622,Event Venue,Arena
Tight Five Pub,4.8,(77),38.922274,77.042245,Event Venue,Arena
Horse Arena Rock Creek Park,5.0,(5),38.94859,77.049113,Event Venue,Arena
Fitzgerald Tennis Center,4.4,(186),38.95388,77.037201,Event Venue,Arena
Georgia Ave + New Hampshire Ave Stop B,3.5,(2),38.937022,77.024548,Event Venue,Arena
Fitzgerald Tennis Center,4.4,(186),38.95388,77.037201,Event Venue,Arena
Fitzgerald Tennis Center,4.4,(186),38.95388,77.037201,Event Venue,Arena
Potomac Yard–VT Station South Pavilion,5.0,(3),38.832812,77.047455,Event Venue,Arena
Residence Inn Arlington Capital View,4.3,(651),38.847083,77.051267,Event Venue,Arena
Potomac Yard/Vt Metrorail Station,4.7,(21),38.833199,77.046425,Event Venue,Arena
Total Wine & More,4.5,(259),38.839912,77.050194,Event Venue,Arena
Arena Stage at the Mead Center for American Theater,4.7,"(1,521)",38.877302,77.020138,Event Venue,Arena
Arena Stage,3.9,(7),38.877352,77.020496,Event Venue,Arena
SP+ Parking,4.0,(5),38.877385,77.020607,Event Venue,Arena
Audi Field,4.6,"(3,369)",38.868931,77.012926,Event Venue,Arena
M St SW & 6 St SW,3.0,(1),38.876583,77.019669,Event Venue,Arena
