Frank Mann Field,4.4,(25),38.83893,77.056988,Event Venue,Stadium
Pavilion 7,4.8,(16),38.842009,77.022336,Event Venue,Stadium
Residence Inn Arlington Capital View,4.3,(651),38.847083,77.051267,Event Venue,Stadium
Frank Mann Field,4.4,(25),38.83893,77.056988,Event Venue,Stadium
Pavilion 7,4.8,(16),38.842009,77.022336,Event Venue,Stadium
Residence Inn Arlington Capital View,4.3,(651),38.847083,77.051267,Event Venue,Stadium
Courtyard Arlington Crystal City/Reagan National Airport,4.2,"(1,587)",38.84795,77.051906,Event Venue,Stadium
Pavilion 7,4.8,(16),38.842009,77.022336,Event Venue,Stadium
"Crowne Plaza Crystal City-Washington, D.C., an IHG Hotel",4.0,"(1,519)",38.860565,77.050201,Event Venue,Stadium
Residence Inn Arlington Capital View,4.3,(651),38.847083,77.051267,Event Venue,Stadium
Courtyard Arlington Crystal City/Reagan National Airport,4.2,"(1,587)",38.84795,77.051906,Event Venue,Stadium
Nordstrom Rack,4.3,(631),38.862077,77.058467,Event Venue,Stadium
Marymount University Home Field,N/A,N/A,38.866995,77.046588,Event Venue,Stadium
"Crowne Plaza Crystal City-Washington, D.C., an IHG Hotel",4.0,"(1,519)",38.860565,77.050201,Event Venue,Stadium
Nordstrom Rack,4.3,(631),38.862077,77.058467,Event Venue,Stadium
Marymount University Home Field,N/A,N/A,38.866995,77.046588,Event Venue,Stadium
West Potomac Park Field #6 (Ohio Drive),4.3,(7),38.883066,77.044897,Event Venue,Stadium
JFK Hockey Fields,4.8,(19),38.88827,77.044374,Event Venue,Stadium
ShadedSeats.com,N/A,N/A,46.423669,29.942708,Event Venue,Stadium
The Anthem,4.6,"(6,034)",38.880094,77.026109,Event Venue,Stadium
"Holiday Inn Washington Capitol - Natl Mall, an IHG Hotel",4.1,"(4,005)",38.885564,77.019698,Event Venue,Stadium
West Potomac Park Field #6 (Ohio Drive),4.3,(7),38.883066,77.044897,Event Venue,Stadium
JFK Hockey Fields,4.8,(19),38.88827,77.044374,Event Venue,Stadium
Kastles Stadium at the Smith Center,4.8,(5),38.897869,77.049325,Event Venue,Stadium
Capital One Arena,4.5,"(15,033)",38.898167,77.020856,Event Venue,Stadium
DC Hockey Arena,5.0,(3),38.898058,77.020879,Event Venue,Stadium
Stadium Chasers,N/A,N/A,38.898197,77.019713,Event Venue,Stadium
District E Powered by Ticketmaster,3.5,(26),38.898776,77.020583,Event Venue,Stadium
Kastles Stadium at the Smith Center,4.8,(5),38.897869,77.049325,Event Venue,Stadium
