Name,Rating,Number of Reviews,Latitude,Longitude,Category,Sub-Category
APTA Centennial Center,N/A,N/A,38.833263,77.048257,Event Venue,Conference Center
Kaiser Permanente Alexandria Medical Center,4.5,(196),38.832813,77.048202,Event Venue,Conference Center
Frank Mann Field,4.4,(25),38.83893,77.056988,Event Venue,Stadium
Pavilion 7,4.8,(16),38.842009,77.022336,Event Venue,Stadium
Residence Inn Arlington Capital View,4.3,(651),38.847083,77.051267,Event Venue,Stadium
Potomac Yard–VT Station South Pavilion,5.0,(3),38.832812,77.047455,Event Venue,Arena
Potomac Yard/Vt Metrorail Station,4.7,(21),38.833199,77.046425,Event Venue,Arena
"AMA Conference Center Washington, DC",4.5,(22),38.852729,77.048453,Event Venue,Conference Center
Conference Center and Historic Lobby,5.0,(2),38.848867,77.041348,Event Venue,Conference Center
American Management Association,4.5,(11),38.853066,77.048524,Event Venue,Conference Center
Frank Mann Field,4.4,(25),38.83893,77.056988,Event Venue,Stadium
Pavilion 7,4.8,(16),38.842009,77.022336,Event Venue,Stadium
Residence Inn Arlington Capital View,4.3,(651),38.847083,77.051267,Event Venue,Stadium
Courtyard Arlington Crystal City/Reagan National Airport,4.2,"(1,587)",38.84795,77.051906,Event Venue,Stadium
"AMA Conference Center Washington, DC",4.5,(22),38.852729,77.048453,Event Venue,Conference Center
Conference Center and Historic Lobby,5.0,(2),38.848867,77.041348,Event Venue,Conference Center
American Management Association,4.5,(11),38.853066,77.048524,Event Venue,Conference Center
Pavilion 7,4.8,(16),38.842009,77.022336,Event Venue,Stadium
"Crowne Plaza Crystal City-Washington, D.C., an IHG Hotel",4.0,"(1,519)",38.860565,77.050201,Event Venue,Stadium
Residence Inn Arlington Capital View,4.3,(651),38.847083,77.051267,Event Venue,Stadium
Courtyard Arlington Crystal City/Reagan National Airport,4.2,"(1,587)",38.84795,77.051906,Event Venue,Stadium
Nordstrom Rack,4.3,(631),38.862077,77.058467,Event Venue,Stadium
American Airlines Admirals Club (Concourse E),4.4,(29),38.857696,77.044696,Event Venue,Arena
"AMA Conference Center Washington, DC",4.5,(22),38.852729,77.048453,Event Venue,Conference Center
American Management Association,4.5,(11),38.853066,77.048524,Event Venue,Conference Center
Marymount University Home Field,N/A,N/A,38.866995,77.046588,Event Venue,Stadium
"Crowne Plaza Crystal City-Washington, D.C., an IHG Hotel",4.0,"(1,519)",38.860565,77.050201,Event Venue,Stadium
Nordstrom Rack,4.3,(631),38.862077,77.058467,Event Venue,Stadium
Synetic Theater,4.8,(327),38.856977,77.051291,Event Venue,Arena
American Airlines Admirals Club (Concourse E),4.4,(29),38.857696,77.044696,Event Venue,Arena
Crystal City Marriott at Reagan National Airport,4.2,"(1,391)",38.856774,77.051396,Event Venue,Arena
The Westin Crystal City Reagan National Airport,4.2,"(1,470)",38.857254,77.052576,Event Venue,Arena
"Crowne Plaza Crystal City-Washington, D.C., an IHG Hotel",4.0,"(1,519)",38.860565,77.050201,Event Venue,Arena
Marymount University Home Field,N/A,N/A,38.866995,77.046588,Event Venue,Stadium
societyM meeting rooms Washington DC Capitol,5.0,(1),38.883739,77.019488,Event Venue,Conference Center
Arena Stage at the Mead Center for American Theater,4.7,"(1,521)",38.877302,77.020138,Event Venue,Conference Center
"Holiday Inn Washington Capitol - Natl Mall, an IHG Hotel",4.1,"(4,005)",38.885564,77.019698,Event Venue,Conference Center
Constitution Center,4.5,(53),38.884049,77.02141,Event Venue,Conference Center
International Taxpayer Rights Conference,N/A,N/A,38.885632,77.019431,Event Venue,Conference Center
Arena Stage at the Mead Center for American Theater,4.7,"(1,521)",38.877302,77.020138,Event Venue,Convention Center
Constitution Center,4.5,(53),38.884049,77.02141,Event Venue,Convention Center
"Holiday Inn Washington Capitol - Natl Mall, an IHG Hotel",4.1,"(4,005)",38.885564,77.019698,Event Venue,Convention Center
Hilton Washington DC National Mall The Wharf,4.1,"(1,246)",38.883919,77.023995,Event Venue,Convention Center
Hyatt Place Washington Dc/National Mall,4.2,"(1,785)",38.882928,77.017974,Event Venue,Convention Center
West Potomac Park Field #6 (Ohio Drive),4.3,(7),38.883066,77.044897,Event Venue,Stadium
JFK Hockey Fields,4.8,(19),38.88827,77.044374,Event Venue,Stadium
ShadedSeats.com,N/A,N/A,46.423669,29.942708,Event Venue,Stadium
The Anthem,4.6,"(6,034)",38.880094,77.026109,Event Venue,Stadium
"Holiday Inn Washington Capitol - Natl Mall, an IHG Hotel",4.1,"(4,005)",38.885564,77.019698,Event Venue,Stadium
Arena Stage at the Mead Center for American Theater,4.7,"(1,521)",38.877302,77.020138,Event Venue,Arena
Arena Stage,3.9,(7),38.877352,77.020496,Event Venue,Arena
SP+ Parking,4.0,(5),38.877385,77.020607,Event Venue,Arena
M St SW & 6 St SW,3.0,(1),38.876583,77.019669,Event Venue,Arena
Richard's Place,2.1,(11),38.877456,77.021133,Event Venue,Arena
Salamander Washington DC,4.6,"(2,129)",38.883738,77.030098,Event Venue,Conference Center
Foundation for SMFM,N/A,N/A,38.884156,77.028469,Event Venue,Conference Center
USDA Foreign Agricultural Service,4.3,(12),38.88697,77.030788,Event Venue,Conference Center
Andrew W Mellon Auditorium,4.6,(209),38.892457,77.029996,Event Venue,Convention Center
Organization of American States,4.3,(678),38.892844,77.04038,Event Venue,Convention Center
West Potomac Park Field #6 (Ohio Drive),4.3,(7),38.883066,77.044897,Event Venue,Stadium
JFK Hockey Fields,4.8,(19),38.88827,77.044374,Event Venue,Stadium
JFK Hockey Fields,4.8,(19),38.88827,77.044374,Event Venue,Arena
West Potomac Park Field #5,4.6,(5),38.882573,77.044185,Event Venue,Arena
Sylvan Theater,4.5,(37),38.888357,77.034521,Event Venue,Arena
The Portals Parking,3.0,(60),38.883644,77.029739,Event Venue,Arena
Walter E. Washington Convention Center,4.5,"(8,308)",38.904883,77.022993,Event Venue,Conference Center
The White House Conference Center,4.0,(47),38.899506,77.038157,Event Venue,Conference Center
ASAE Conference Center,4.3,(12),38.901647,77.035462,Event Venue,Conference Center
walter e washington convention center,N/A,N/A,38.901044,77.024948,Event Venue,Conference Center
AUSA Conference & Event Center,4.7,(30),38.890805,77.088144,Event Venue,Conference Center
Walter E. Washington Convention Center,4.5,"(8,308)",38.904883,77.022993,Event Venue,Convention Center
The White House Conference Center,4.0,(47),38.899506,77.038157,Event Venue,Convention Center
Walter e Washington DC convention Center,N/A,N/A,38.902825,77.025879,Event Venue,Convention Center
ASAE Conference Center,4.3,(12),38.901647,77.035462,Event Venue,Convention Center
walter e washington convention center,N/A,N/A,38.901044,77.024948,Event Venue,Convention Center
Kastles Stadium at the Smith Center,4.8,(5),38.897869,77.049325,Event Venue,Stadium
Capital One Arena,4.5,"(15,033)",38.898167,77.020856,Event Venue,Stadium
DC Hockey Arena,5.0,(3),38.898058,77.020879,Event Venue,Stadium
Stadium Chasers,N/A,N/A,38.898197,77.019713,Event Venue,Stadium
District E Powered by Ticketmaster,3.5,(26),38.898776,77.020583,Event Venue,Stadium
Capital One Arena,4.5,"(15,033)",38.898167,77.020856,Event Venue,Arena
CapitalOne Arena Media Entrance,4.5,(15),38.897749,77.020129,Event Venue,Arena
