4001,Educational Institute,School
3503,Educational Institute,Tuition Center
1508,Fitness & Wellness,Gym
2782,Educational Institute,University
2786,Educational Institute,College
1203,Educational Institute,Art School
854,Educational Institute,Music School
20,Fitness & Wellness,Yoga Studio
255,Educational Institute,Driving School
225,Educational Institute,Dance School
1456,Outdoor Space,Park
1407,Office,Media Company
1408,Office,Corporate Office
1401,Shop,Pharmacy
1403,Financial Institution,ATM
1402,Financial Institution,Bank
1406,Outdoor Space,Garden
1405,Transportation,Bus Stop
1404,Restaurant,Cafe
1409,Restaurant,Bakery
1402,Transportation,Taxi Stand
1403,Office,Law Firm
1404,Restaurant,Ice Cream Parlor
1405,Office,Travel Agency
1408,Office,Advertising Agency
1397,Restaurant,Fast Food
1394,Transportation,Airport
1386,Restaurant,Bar
1383,Restaurant,Buffet
1365,Shop,Hardware Store
1358,Office,Accounting Firm
1349,Office,Insurance Agency
1347,Shop,Shoe Store
1273,Office,Non-Profit Organization
1278,Transportation,Railway Station
1256,Hotel,Hotels
1231,Restaurant,Fine Dining
1175,Government Building,Police Station
1179,Government Building,Library
1176,Shop,Diary
1173,Shop,Stationery
1162,Entertainment,Sports Complex
1158,Personal Care,Hair Salon
1153,Fuel Station,Petrol Pump
1156,Outdoor Space,Forest
1159,Shop,Beauty Parlour
1154,Shop,Clothing
1157,Shop,Electronics
1134,Government Building,Post Office
1097,Event Venue,Stadium
1088,Personal Care,Laundry
1079,Entertainment,Movie Theater
1055,Shop,Convenience Store
1056,Restaurant,Pub
1007,Restaurant,Pizzeria
1004,Outdoor Space,Lake
995,Hotel,Hostels for staying near me
973,Government Building,City Hall
877,Financial Institution,Investment Firm
823,Fuel Station,LPG Station
787,Entertainment,Amusement Park
742,Office,Co-working Space
746,Event Venue,Conference Center
713,Event Venue,Arena
667,Entertainment,Museum
1,Entertainment,Zoo
412,Outdoor Space,River
352,Pilgrimage Place,Temple
335,Event Venue,Convention Center
323,Restaurant,Food Truck
314,Fuel Station,Electrical Charging Station
317,Pilgrimage Place,Church
268,Pilgrimage Place,Gurudwara
253,Hospital,Mental Health Clinic
257,Hospital,Rehabilitation Center
259,Hospital,General Hospital
245,Hotel,Resorts 
247,Hospital,Maternity Hospital
214,Government Building,Fire Station
207,Government Building,Courthouse
202,Hospital,Dental Clinic
208,Hospital,Children's Hospital
183,Category,Sub-Category
182,Entertainment,Comedy Club
145,Hospital,Eye Clinic
133,Pilgrimage Place,Shrine
113,Pilgrimage Place,Mosque
93,Entertainment,Concert Hall
64,Hospital,Veterinary Clinic
57,Hospital,Specialty Hospital
51,Shopping Mall,Jewelry Store
52,Shopping Mall,Departmental Store
43,Hotel,Budget Hotel
23,Pilgrimage Place,Monastery
```
