Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,Petrol Pump
IndianOil,3.8,-491,30.698511,76.758614,Fuel Station,Petrol Pump
HP PETROL PUMP - CITY SERVICE STATION,3.9,-660,30.691803,76.734586,Fuel Station,Petrol Pump
IndianOil,3.9,"-1,177",30.679655,76.746323,Fuel Station,Petrol Pump
Maan Vehicle Pollution Check Centre 49,4,-40,30.697025,76.758798,Fuel Station,Petrol Pump
HP PETROL PUMP - CITY SERVICE STATION,3.9,-660,30.691803,76.734586,Fuel Station,LPG Station
IndianOil,3.9,"-1,177",30.679655,76.746323,Fuel Station,LPG Station
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,LPG Station
Bharat Gas - Virdi Gas Service,3.2,-69,30.68601,76.738936,Fuel Station,LPG Station
Harpal Motors,4.8,-4,30.68676,76.760677,Fuel Station,LPG Station
Powerbank Charging Station,3,-2,30.702507,76.729567,Fuel Station,Electrical Charging Station
EVortable Charging Station,N/A,N/A,30.7063,76.757552,Fuel Station,Electrical Charging Station
IndianOil,4.1,"-2,285",30.710815,76.743211,Fuel Station,Petrol Pump
IndianOil,4,-552,N/A,N/A,Fuel Station,Petrol Pump
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,Petrol Pump
Municipal Petrol Pump,3.9,-330,30.709849,76.747231,Fuel Station,Petrol Pump
IndianOil,3.8,-491,30.698511,76.758614,Fuel Station,Petrol Pump
Auto LPG STATION,4.4,-37,30.724181,76.770894,Fuel Station,LPG Station
IndianOil,4.1,"-2,285",30.710815,76.743211,Fuel Station,LPG Station
Kapoor Service Station,4.2,-60,30.724066,76.770854,Fuel Station,LPG Station
"Karan Filling Station , Chandigarh",4.2,-19,30.710894,76.743042,Fuel Station,LPG Station
Amalia Pump CNG Filling Centre,4,"-2,718",30.709726,76.748739,Fuel Station,LPG Station
Powerbank Charging Station,3,-2,30.702507,76.729567,Fuel Station,Electrical Charging Station
Powerbank Charging Station,N/A,N/A,30.718145,76.776171,Fuel Station,Electrical Charging Station
Electric Vehicle Charging Station,N/A,N/A,30.720301,76.729657,Fuel Station,Electrical Charging Station
Charge Zone Charging Station,N/A,N/A,30.720487,76.729234,Fuel Station,Electrical Charging Station
Electric Vehicle Charging Station,N/A,N/A,30.70409,76.802541,Fuel Station,Electrical Charging Station
IndianOil,4.1,"-2,285",30.710815,76.743211,Fuel Station,Petrol Pump
IndianOil,4.1,-824,30.716741,76.752579,Fuel Station,Petrol Pump
HP Petrol Pump,4,"-1,923",30.714826,76.742931,Fuel Station,Petrol Pump
Municipal Petrol Pump,3.9,-330,30.709849,76.747231,Fuel Station,Petrol Pump
HP PETROL PUMP FILLING STATION,4,-805,30.720585,76.729237,Fuel Station,Petrol Pump
Auto LPG STATION,4.4,-37,30.724181,76.770894,Fuel Station,LPG Station
IndianOil,3.9,-876,30.722814,76.738078,Fuel Station,LPG Station
IndianOil,4.1,"-2,285",30.710815,76.743211,Fuel Station,LPG Station
Kapoor Service Station,4.2,-60,30.724066,76.770854,Fuel Station,LPG Station
HP PETROL PUMP FILLING STATION,4,-805,30.720585,76.729237,Fuel Station,LPG Station
IndianOil,4.1,-824,30.716741,76.752579,Fuel Station,Petrol Pump
HP PETROL PUMP FILLING STATION,4,-805,30.720585,76.729237,Fuel Station,Petrol Pump
BPCL Petrol pump,3.9,"-1,677",30.728885,76.733307,Fuel Station,Petrol Pump
IndianOil,3.9,-876,30.722814,76.738078,Fuel Station,Petrol Pump
HP Petrol Pump,4,"-1,923",30.714826,76.742931,Fuel Station,Petrol Pump
IndianOil,3.9,-876,30.722814,76.738078,Fuel Station,LPG Station
Super gas service bharat gas,3.6,-59,30.727327,76.74899,Fuel Station,LPG Station
Electric Vehicle Charging Station,3,-3,30.728155,76.739389,Fuel Station,Electrical Charging Station
Powerbank Charging Station,N/A,N/A,30.718145,76.776171,Fuel Station,Electrical Charging Station
Powerbank Charging Station,3,-2,30.702507,76.729567,Fuel Station,Electrical Charging Station
Electric Vehicle Charging Station,N/A,N/A,30.720301,76.729657,Fuel Station,Electrical Charging Station
GLIDA Charging Station,N/A,N/A,30.738857,76.715812,Fuel Station,Electrical Charging Station
IndianOil,4,"-1,130",30.734392,76.727989,Fuel Station,Petrol Pump
IndianOil,3.9,-876,30.722814,76.738078,Fuel Station,Petrol Pump
HP PETROL PUMP FILLING STATION,4,-805,30.720585,76.729237,Fuel Station,Petrol Pump
BPCL Petrol pump,3.9,"-1,677",30.728885,76.733307,Fuel Station,Petrol Pump
BPCL Petrol Pump,3.8,-265,30.729383,76.766404,Fuel Station,Petrol Pump
IndianOil,3.9,-876,30.722814,76.738078,Fuel Station,LPG Station
BPCL Petrol Pump,3.8,-265,30.729383,76.766404,Fuel Station,LPG Station
"BPCL, Shyama Shyam Filling Station",3.8,-158,30.72906,76.765775,Fuel Station,LPG Station
HP PETROL PUMP FILLING STATION,4,-805,30.720585,76.729237,Fuel Station,LPG Station
Super gas service bharat gas,3.6,-59,30.727327,76.74899,Fuel Station,LPG Station
Charge Zone Charging Station,N/A,N/A,30.742719,76.754866,Fuel Station,Electrical Charging Station
IndianOil,3.9,-949,30.742697,76.754974,Fuel Station,Petrol Pump
Perfect Punture,N/A,N/A,30.74283,76.754919,Fuel Station,Petrol Pump
IndianOil,3.9,-949,30.742697,76.754974,Fuel Station,LPG Station
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,Petrol Pump
IndianOil,3.8,-491,30.698511,76.758614,Fuel Station,Petrol Pump
HP PETROL PUMP - CITY SERVICE STATION,3.9,-660,30.691803,76.734586,Fuel Station,Petrol Pump
IndianOil,3.9,"-1,177",30.679655,76.746323,Fuel Station,Petrol Pump
Maan Vehicle Pollution Check Centre 49,4,-40,30.697025,76.758798,Fuel Station,Petrol Pump
HP PETROL PUMP - CITY SERVICE STATION,3.9,-660,30.691803,76.734586,Fuel Station,LPG Station
IndianOil,3.9,"-1,177",30.679655,76.746323,Fuel Station,LPG Station
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,LPG Station
Bharat Gas - Virdi Gas Service,3.2,-69,30.68601,76.738936,Fuel Station,LPG Station
Harpal Motors,4.8,-4,30.68676,76.760677,Fuel Station,LPG Station
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,Petrol Pump
HP PETROL PUMP - CITY SERVICE STATION,3.9,-660,30.691803,76.734586,Fuel Station,Petrol Pump
IndianOil,3.8,-491,30.698511,76.758614,Fuel Station,Petrol Pump
Chawla Petrol Pump,4,-378,30.702441,76.729237,Fuel Station,Petrol Pump
IndianOil,4,-552,N/A,N/A,Fuel Station,Petrol Pump
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,LPG Station
EVortable Charging Station,N/A,N/A,30.7063,76.757552,Fuel Station,Electrical Charging Station
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,Petrol Pump
IndianOil,4.1,-824,30.716741,76.752579,Fuel Station,Petrol Pump
IndianOil,3.8,-491,30.698511,76.758614,Fuel Station,Petrol Pump
HP Petrol Pump,4,"-1,923",30.714826,76.742931,Fuel Station,Petrol Pump
Municipal Petrol Pump,3.9,-330,30.709849,76.747231,Fuel Station,Petrol Pump
IndianOil,4.1,"-2,285",30.710815,76.743211,Fuel Station,LPG Station
"Karan Filling Station , Chandigarh",4.2,-19,30.710894,76.743042,Fuel Station,LPG Station
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,LPG Station
Amalia Pump CNG Filling Centre,4,"-2,718",30.709726,76.748739,Fuel Station,LPG Station
Indane - Punia Gas Service,3.1,-70,30.709731,76.772789,Fuel Station,LPG Station
IndianOil,4.1,"-2,285",30.710815,76.743211,Fuel Station,Petrol Pump
IndianOil,4.1,-824,30.716741,76.752579,Fuel Station,Petrol Pump
HP Petrol Pump,4,"-1,923",30.714826,76.742931,Fuel Station,Petrol Pump
Municipal Petrol Pump,3.9,-330,30.709849,76.747231,Fuel Station,Petrol Pump
Rajpura Ambala,4,-56,30.716872,76.752498,Fuel Station,Petrol Pump
Amalia Pump CNG Filling Centre,4,"-2,718",30.709726,76.748739,Fuel Station,LPG Station
Electric Vehicle Charging Station,3,-3,30.728155,76.739389,Fuel Station,Electrical Charging Station
Charge Zone Charging Station,N/A,N/A,30.72684,76.767139,Fuel Station,Electrical Charging Station
IndianOil,4.1,-824,30.716741,76.752579,Fuel Station,Petrol Pump
BPCL Petrol pump,3.9,"-1,677",30.728885,76.733307,Fuel Station,Petrol Pump
IndianOil,3.9,-876,30.722814,76.738078,Fuel Station,Petrol Pump
HP Petrol Pump,4,"-1,923",30.714826,76.742931,Fuel Station,Petrol Pump
Rajpura Ambala,4,-56,30.716872,76.752498,Fuel Station,Petrol Pump
Auto LPG STATION,4.4,-37,30.724181,76.770894,Fuel Station,LPG Station
Kapoor Service Station,4.2,-60,30.724066,76.770854,Fuel Station,LPG Station
IndianOil,3.9,-876,30.722814,76.738078,Fuel Station,LPG Station
IndianOil,4,-414,30.724312,76.770866,Fuel Station,LPG Station
BPCL Petrol Pump,3.8,-265,30.729383,76.766404,Fuel Station,LPG Station
Bharat Petroleum Kerosene Filing Station,4.1,-26,30.725167,76.758807,Fuel Station,Petrol Pump
Super gas service bharat gas,3.6,-59,30.727327,76.74899,Fuel Station,Petrol Pump
Super gas service bharat gas,3.6,-59,30.727327,76.74899,Fuel Station,LPG Station
Charge Zone Charging Station,N/A,N/A,30.742719,76.754866,Fuel Station,Electrical Charging Station
IndianOil,3.9,-949,30.742697,76.754974,Fuel Station,Petrol Pump
Perfect Punture,N/A,N/A,30.74283,76.754919,Fuel Station,Petrol Pump
IndianOil,3.9,-949,30.742697,76.754974,Fuel Station,LPG Station
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,Petrol Pump
IndianOil,3.8,-491,30.698511,76.758614,Fuel Station,Petrol Pump
IndianOil,3.9,"-1,177",30.679655,76.746323,Fuel Station,Petrol Pump
Maan Vehicle Pollution Check Centre 49,4,-40,30.697025,76.758798,Fuel Station,Petrol Pump
Perfect pencture shop,1,-1,30.698474,76.758609,Fuel Station,Petrol Pump
IndianOil,3.9,"-1,177",30.679655,76.746323,Fuel Station,LPG Station
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,LPG Station
Harpal Motors,4.8,-4,30.68676,76.760677,Fuel Station,LPG Station
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,Petrol Pump
IndianOil,3.8,-491,30.698511,76.758614,Fuel Station,Petrol Pump
HP PETROL PUMP - CITY SERVICE STATION,3.9,-660,30.691803,76.734586,Fuel Station,Petrol Pump
IndianOil,4.1,"-2,285",30.710815,76.743211,Fuel Station,Petrol Pump
Bharat Petroleum,4.4,"-3,067",30.723274,76.771616,Fuel Station,Petrol Pump
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,LPG Station
EVortable Charging Station,N/A,N/A,30.7063,76.757552,Fuel Station,Electrical Charging Station
IndianOil,4.1,"-2,027",30.696984,76.758506,Fuel Station,Petrol Pump
IndianOil,4.1,-824,30.716741,76.752579,Fuel Station,Petrol Pump
