Name,Rating,NumberofReviews,Latitude,Longitude,Category,Sub-Category,Row,Column,Population,Rating_by_Audience
IndianOil,4.1,2027.0,30.696984,76.758506,FuelStation,PetrolPump,3,19,13801.8,4.09689655172429
IndianOil,3.8,491.0,30.698511,76.758614,FuelStation,PetrolPump,4,19,13076.799999999996,3.789068825910901
HPPETROLPUMP-CITYSERVICESTATION,3.9,660.0,30.691803,76.734586,FuelStation,PetrolPump,1,0,4288.599999999999,3.8914027149321746
IndianOil,3.9,1177.0,30.679655,76.746323,FuelStation,PetrolPump,0,8,6226.000000000001,3.895169491525442
MaanVehiclePollutionCheckCentre49,4.0,40.0,30.697025,76.758798,FuelStation,PetrolPump,3,19,13801.8,3.86046511627907
HPPETROLPUMP-CITYSERVICESTATION,3.9,660.0,30.691803,76.734586,FuelStation,LPGStation,1,0,4288.599999999999,3.8914027149321746
IndianOil,3.9,1177.0,30.679655,76.746323,FuelStation,LPGStation,0,8,6226.000000000001,3.895169491525442
IndianOil,4.1,2027.0,30.696984,76.758506,FuelStation,LPGStation,3,19,13801.8,4.09689655172429
BharatGas-VirdiGasService,3.2,69.0,30.68601,76.738936,FuelStation,LPGStation,0,1,4382.8,3.1499999999999964
HarpalMotors,4.8,4.0,30.68676,76.760677,FuelStation,LPGStation,0,21,9049.2,3.6
PowerbankChargingStation,3.0,2.0,30.702507,76.729567,FuelStation,ElectricalChargingStation,5,0,6007.000000000001,2.4
EVortableChargingStation,5.0,1.0,30.7063,76.757552,FuelStation,ElectricalChargingStation,7,18,12167.000000000002,2.75
IndianOil,4.1,2285.0,30.710815,76.743211,FuelStation,PetrolPump,9,5,11122.4,4.09724650349668
IndianOil,4.0,552.0,30.697192362959857,76.76240494308773,FuelStation,PetrolPump,3,22,11609.0,3.9891891891891893
MunicipalPetrolPump,3.9,330.0,30.709849,76.747231,FuelStation,PetrolPump,8,9,10872.4,3.882882882882889
AutoLPGSTATION,4.4,37.0,30.724181,76.770894,FuelStation,LPGStation,24,24,2495.6000000000004,4.220000000000002
IndianOil,4.1,2285.0,30.710815,76.743211,FuelStation,LPGStation,9,5,11122.4,4.09724650349668
KapoorServiceStation,4.2,60.0,30.724066,76.770854,FuelStation,LPGStation,24,24,2495.6000000000004,4.0952380952380905
"KaranFillingStation,Chandigarh",4.2,19.0,30.710894,76.743042,FuelStation,LPGStation,9,5,11122.4,3.9000000000000012
AmaliaPumpCNGFillingCentre,4.0,2718.0,30.709726,76.748739,FuelStation,LPGStation,8,10,10646.400000000003,3.997794928335171
PowerbankChargingStation,5.0,1.0,30.718145,76.776171,FuelStation,ElectricalChargingStation,24,24,2495.6000000000004,2.75
ElectricVehicleChargingStation,5.0,1.0,30.720301,76.729657,FuelStation,ElectricalChargingStation,12,0,6156.0,2.75
ChargeZoneChargingStation,5.0,1.0,30.720487,76.729234,FuelStation,ElectricalChargingStation,12,0,6156.0,2.75
ElectricVehicleChargingStation,5.0,1.0,30.70409,76.802541,FuelStation,ElectricalChargingStation,24,24,2495.6000000000004,2.75
IndianOil,4.1,824.0,30.716741,76.752579,FuelStation,PetrolPump,11,13,8632.600000000002,4.092382103990269
HPPetrolPump,4.0,1923.0,30.714826,76.742931,FuelStation,PetrolPump,10,5,10277.0,3.9968847352024923
HPPETROLPUMPFILLINGSTATION,4.0,805.0,30.720585,76.729237,FuelStation,PetrolPump,12,0,6156.0,3.992574257425743
IndianOil,3.9,876.0,30.722814,76.738078,FuelStation,LPGStation,13,0,6523.000000000001,3.8935153583618334
HPPETROLPUMPFILLINGSTATION,4.0,805.0,30.720585,76.729237,FuelStation,LPGStation,12,0,6156.0,3.992574257425743
BPCLPetrolpump,3.9,1677.0,30.728885,76.733307,FuelStation,PetrolPump,16,0,8401.400000000003,3.896607142857047
IndianOil,3.9,876.0,30.722814,76.738078,FuelStation,PetrolPump,13,0,6523.000000000001,3.8935153583618334
Supergasservicebharatgas,3.6,59.0,30.727327,76.74899,FuelStation,LPGStation,15,10,7292.799999999999,3.5225806451612867
ElectricVehicleChargingStation,3.0,3.0,30.728155,76.739389,FuelStation,ElectricalChargingStation,15,1,9979.999999999998,2.5
GLIDAChargingStation,5.0,1.0,30.738857,76.715812,FuelStation,ElectricalChargingStation,20,0,6651.200000000001,2.75
IndianOil,4.0,1130.0,30.734392,76.727989,FuelStation,PetrolPump,18,0,8115.000000000001,3.994704324801412
